Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
18 Reasons,none identified,Community-Based Organizations,Other community-based service provider,San Francisco,#N/A,94110
1Heart Care Giver Services La Jolla,none identified,Community-Based Organizations,Other community-based service provider,San Diego,#N/A,92111
211 LA,none identified,Community-Based Organizations,Other community-based service provider,San Gabriel,#N/A,91776
"24Hr HomeCare, LLC",none identified,Ancillary Care,Other ancillary care provider,El Segunda,#N/A,90245
330809751,none identified,Ambulatory Care Settings,Physician practice,Murrieta,#N/A,92562
360 Wellness Solutions,"360 Wellness Solutions Physical Therapy & Rehabilitation Services, Professional Corporation",Ambulatory Care Settings,Mental health clinic,Rancho Mirage,#N/A,92270
4Cs Sonoma County,none identified,Community-Based Organizations,Other community-based service provider,Santa Rosa,#N/A,95401
"980 E. Foothill Blvd, Suite 101, Upland, CA 91786",none identified,Ambulatory Care Settings,Physician practice,Upland,#N/A,91786
A GRACE SUBACUTE & SKILLED CARE,none identified,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95128
A Senior connection,none identified,Community-Based Organizations,Other community-based service provider,Sacramento,#N/A,95841
A TU SALUD A MEDICAL CORPORATION,none identified,Ambulatory Care Settings,Physician practice,MONTCLAIR,#N/A,91763
A woman for women medical group Inc,none identified,Ambulatory Care Settings,Physician practice,GILROY,#N/A,95020
"A. Elaine Ashby, MD, Inc.",none identified,Ambulatory Care Settings,not selected,Lafayette,#N/A,94549
AAA Comprehensive Healthcare Inc.,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),North Hollywood,#N/A,91605
ABA Enhancement LLC,none identified,Acute Care Settings,Other acute care setting,Fountain Valley,#N/A,92708
"Abayomi A. Odubela, MD, APC",none identified,Ambulatory Care Settings,Physician practice,Murrieta,#N/A,92562
ABC CHILDREN'S CLINIC,none identified,Ambulatory Care Settings,Physician practice,Foothill Ranch,#N/A,92610
"Abdul W. Khan, MD",none identified,Ambulatory Care Settings,Physician practice,Manteca,#N/A,95336
ABID HUSSAIN MD,none identified,Community-Based Organizations,Other community-based service provider,Hemet,#N/A,92543
ABM Medical Clinic Inc,none identified,Ambulatory Care Settings,Physician practice,Woodland Hills,#N/A,91364
"Abrazar, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Westminster,#N/A,92683
Acacia Family Medical Group,none identified,Ambulatory Care Settings,Physician practice,Salinas,#N/A,93907
ACASA Senior Care,SMR Healthcare Management,Community-Based Organizations,Continuum of Care organization (CoC),Chino Hills,#N/A,91709
ACC Care Center,none identified,Subacute Care Facility,not selected,Sacramento,#N/A,95831
Access TLC home health and hospice,none identified,Community-Based Organizations,Other community-based service provider,Moorpark,#N/A,93021
Access TLC Home Health Care,none identified,Ancillary Care,Other ancillary care provider,Moorpark,#N/A,93021
Accumen TMS Center,none identified,Ambulatory Care Settings,Mental health clinic,Downey,#N/A,90242
ace care pharmacy management and consulting,none identified,Pharmacy,not selected,tulare,#N/A,93274
ACES 2020 LLC,none identified,Community-Based Organizations,Other community-based service provider,San Diego,#N/A,92163
ACHILLES PROSTHETICS AND ORTHOTI,"CHANNEL ISLANDS PROSTHETICS AND ORTHOTICS, INC",Ancillary Care,Other ancillary care provider,ventura,#N/A,93003
ACHILLES PROSTHETICS AND ORTHOTI,R AND J PROSTHETICS,Ancillary Care,Other ancillary care provider,ventura,#N/A,93003
ACMG,TSC Medical Director Group,Ambulatory Care Settings,not selected,Oakland,#N/A,94610
"Acuprogroup,inc.",none identified,Ancillary Care,Other ancillary care provider,Montebello,#N/A,90640
adams medical group a professional corporation,none identified,Ambulatory Care Settings,not selected,turlock,#N/A,95382
"Adria Brofman, M.D.",none identified,Ambulatory Care Settings,Physician practice,Pasadena,#N/A,91101
adrian tripp md medical corporation,none identified,Ambulatory Care Settings,Physician practice,victorville,#N/A,92394
Advanced Family Medical Group,none identified,Ambulatory Care Settings,Physician practice,Paramount,#N/A,90723
Advanced Healthhcare Administrators,none identified,Community-Based Organizations,Other community-based service provider,Bell,#N/A,90201
Advanced Imaging of South Bay Inc.,none identified,Ancillary Care,Imaging/radiology center,Torrance,#N/A,90503
Advanced Integrative Rehabilitation DBA Fyzical Therapy & Balance Center,none identified,Ancillary Care,Other ancillary care provider,Capitola,#N/A,95010
Advanced Medical and Kidney Institute,none identified,Ambulatory Care Settings,Physician practice,Apple Valley,#N/A,92307
"Advanced Medical Associates, Inc.",none identified,Ambulatory Care Settings,Independent practice associations,Orange,#N/A,92868
ADVANCED ONCOLOGY SOUTH BAY LLC,none identified,Ambulatory Care Settings,Physician practice,Redondo Beach,#N/A,90277
Advanced Orthopaedic Surgery Center,none identified,Ambulatory Care Settings,Physician practice,Temecula,#N/A,92591
Adventist Health Reedley Childrens,none identified,Ambulatory Care Settings,Rural health center (RHC),Reedley,#N/A,93654
Adventist Health System/West,"Adventist Health Clearlake Hospital, Inc.",Acute Care Settings,General acute care hospital,Clearlake,#N/A,95422
