Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
Clear View Sanitarium,,Clear View Convalescent Center,Subacute Care Facility,Skilled nursing facility,,,,,Gardena,Los Angeles,"33.8914, -118.29737"
https://purchaseorthoclinic.com/,,none identified,Ambulatory Care Settings,Physician practice,,,,,Mill Valley,Marin,"37.89517, -122.55924"
"Master•Care, Inc.",,none identified,Community-Based Organizations,Other community-based service provider,,,,,FOLSOM,Sacramento,"38.66708, -121.14181"
Pediatric and Family Medical Center dba “Eisner Health” or “Eisner Pediatric and Family Medical Center”,,none identified,Community-Based Organizations,Other community-based service provider,,,,,Los Angeles,Los Angeles,"34.03939, -118.26645"
Orange Coast Women’s Health Care,,none identified,Ambulatory Care Settings,Physician practice,,,,,Laguna Hills,Orange,"33.59159, -117.69847"
Serving Communities Health Information Organization - SCHIO,Serving Communities Health Information Organization - SCHIO,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),DXF000011,eHealth Exchange,Serving Communities Health Information Organization,Serving Communities Health Information Organization,Santa Cruz,Santa Cruz,"36.97258, -121.99009"
Bakersfield Heart Hospital,Bakersfield Heart Hospital,none identified,Acute Care Settings,not selected,DXF000012,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.54752, -118.93568"
Manifest MedEx,Manifest MedEx,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),DXF000013,SELF,SELF,SELF,Incline Village,Washoe,"39.24152, -119.93386"
SacValley MedShare,SacValley MedShare,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),DXF000015,eHealth Exchange,SELF,SELF,Chico,Butte,"39.68377, -121.84454"
"Beyond Lucid Technologies, Inc.","Beyond Lucid Technologies, Inc.",none identified,not selected,not selected,DXF000016,NONE SELECTED,NONE SELECTED,NONE SELECTED,Danville,Contra Costa,"37.8081, -121.90636"
"Aetna Medicaid Administrators, LLC/Aetna Better Health of California","Aetna Medicaid Administrators, LLC/Aetna Better Health of California",Aetna Better Health Of California,Plans,Health care service plans and disability insurer,DXF000017,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.89435, -117.08011"
San Francisco Department of Public Health,San Francisco Department of Public Health,Zuckerberg San Francisco General Hospital and Trauma Center D/P,Acute Care Settings,Psychiatric hospital,DXF000019,Carequality,Carequality,Serving Communities Health Information Organization,San Francisco,San Francisco,"37.74994, -122.41539"
San Francisco Department of Public Health,San Francisco Department of Public Health,Laguna Honda Hospital and Rehabilitation Center,Acute Care Settings,General acute care hospital,DXF000019,Carequality,Carequality,Serving Communities Health Information Organization,San Francisco,San Francisco,"37.74459, -122.48619"
San Francisco Department of Public Health,San Francisco Department of Public Health,Laguna Honda Hospital and Rehabilitation Center D/P,Subacute Care Facility,Skilled nursing facility,DXF000019,Carequality,Carequality,Serving Communities Health Information Organization,San Francisco,San Francisco,"37.74459, -122.48619"
San Francisco Department of Public Health,San Francisco Department of Public Health,Zuckerberg San Francisco General Hospital and Trauma Center,Acute Care Settings,General acute care hospital,DXF000019,Carequality,Carequality,Serving Communities Health Information Organization,San Francisco,San Francisco,"37.74994, -122.41539"
Health Plan of San Mateo,Health Plan of San Mateo,none identified,Plans,not selected,DXF000025,NONE SELECTED,NONE SELECTED,NONE SELECTED,SOUTH SAN FRANCISCO,San Mateo,"37.65554, -122.42212"
DAP Health,DAP Health,none identified,not selected,not selected,DXF000027,NONE SELECTED,NONE SELECTED,NONE SELECTED,Palm Springs,Riverside,"33.86055, -116.56152"
Avenal Community Health Center dba Aria Community Health Center,Avenal Community Health Center dba Aria Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF000034,Manifest MedEx,Manifest MedEx,Manifest MedEx,Lemoore,Kings,"36.29517, -119.82871"
Department of State Hospitals,Department of State Hospitals,Department of State Hospitals - Patton,Acute Care Settings,Psychiatric hospital,DXF000037,NONE SELECTED,NONE SELECTED,NONE SELECTED,Patton,,
Department of State Hospitals,Department of State Hospitals,Department of State Hospitals - Napa,Acute Care Settings,Psychiatric hospital,DXF000037,NONE SELECTED,NONE SELECTED,NONE SELECTED,Napa,Napa,"38.4549, -122.25643"
Department of State Hospitals,Department of State Hospitals,Department of State Hospitals - Atascadero,Acute Care Settings,Psychiatric hospital,DXF000037,NONE SELECTED,NONE SELECTED,NONE SELECTED,Atascadero,San Luis Obispo,"35.46459, -120.69045"
Department of State Hospitals,Department of State Hospitals,Department of State Hospitals - Metropolitan,Acute Care Settings,Psychiatric hospital,DXF000037,NONE SELECTED,NONE SELECTED,NONE SELECTED,Norwalk,Los Angeles,"33.90685, -118.08263"
Department of State Hospitals,Department of State Hospitals,Department of State Hospitals - Coalinga,Acute Care Settings,Psychiatric hospital,DXF000037,NONE SELECTED,NONE SELECTED,NONE SELECTED,Coalinga,Fresno,"36.19943, -120.4231"
Julie G Duquette MD A Medical Coportation,Julie G Duquette MD A Medical Coportation,none identified,Ancillary Care,not selected,DXF000038,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Beach,Orange,"33.63374, -117.87449"
Health Plan of San Joaquin,Health Plan of San Joaquin,none identified,Plans,not selected,DXF000040,NONE SELECTED,NONE SELECTED,NONE SELECTED,French Camp,San Joaquin,"37.8739, -121.29004"
"Anesthesia Service Medical Group, Inc.","Anesthesia Service Medical Group, Inc.",none identified,Ambulatory Care Settings,not selected,DXF000045,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.80675, -117.13495"
Lompoc Valley Medical Center,Lompoc Valley Medical Center,none identified,Acute Care Settings,not selected,DXF000050,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lompoc,Santa Barbara,"34.60558, -120.39708"
River City Medical Group,River City Medical Group,none identified,Ambulatory Care Settings,not selected,DXF000051,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.49593, -121.52936"
Sonoma Valley Hospital,Sonoma Valley Hospital,none identified,Acute Care Settings,General acute care hospital,DXF000060,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sonoma,Sonoma,"38.24859, -122.45712"
County of Ventura,County of Ventura,Ventura County Medical Center Laboratory,Counties,Other county service,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,,
